filename,score
CtrSVDD_0000_E_0000000,-3.0363276496
CtrSVDD_0001_E_0000001,-1.2078095279
CtrSVDD_0002_E_0000002,-3.8811331791
CtrSVDD_0003_E_0000003,-2.5306869051
CtrSVDD_0004_E_0000004,-4.5024450809
CtrSVDD_0005_E_0000005,-3.7394130112
CtrSVDD_0006_E_0000006,-4.0561613370
CtrSVDD_0007_E_0000007,-2.7523652260
CtrSVDD_0008_E_0000008,-3.1922373086
CtrSVDD_0009_E_0000009,2.1202823753
CtrSVDD_0010_E_0000010,-4.1938524266
CtrSVDD_0011_E_0000011,-4.7645354722
CtrSVDD_0012_E_0000012,-3.0520677482
CtrSVDD_0013_E_0000013,1.0158311043
CtrSVDD_0014_E_0000014,-3.9431203568
CtrSVDD_0015_E_0000015,-2.1622459321
CtrSVDD_0016_E_0000016,-1.8221047652
CtrSVDD_0017_E_0000017,-5.3710692412
CtrSVDD_0018_E_0000018,-3.5924634719
CtrSVDD_0019_E_0000019,-2.4835092224
CtrSVDD_0020_E_0000020,-4.9942240439
CtrSVDD_0021_E_0000021,-4.1125820058
CtrSVDD_0022_E_0000022,-2.7610744443
CtrSVDD_0023_E_0000023,-2.1253778943
CtrSVDD_0024_E_0000024,-4.4275285764
CtrSVDD_0025_E_0000025,-0.6894924976
CtrSVDD_0026_E_0000026,-3.3732214616
CtrSVDD_0027_E_0000027,-2.9395032808
CtrSVDD_0028_E_0000028,-3.7290269788
CtrSVDD_0029_E_0000029,1.0252493761
CtrSVDD_0030_E_0000030,-2.8880913469
CtrSVDD_0031_E_0000031,-3.8945351088
CtrSVDD_0032_E_0000032,-3.9086210350
CtrSVDD_0033_E_0000033,-3.3689235555
CtrSVDD_0034_E_0000034,-2.0737021043
CtrSVDD_0035_E_0000035,-3.5365207079
CtrSVDD_0036_E_0000036,-3.9008466945
CtrSVDD_0037_E_0000037,-1.9707729432
CtrSVDD_0038_E_0000038,1.0863057363
CtrSVDD_0039_E_0000039,-3.5694415873
CtrSVDD_0040_E_0000040,-0.5504201225
CtrSVDD_0041_E_0000041,-4.4132530088
CtrSVDD_0042_E_0000042,-1.3331649506
CtrSVDD_0043_E_0000043,-4.6389269451
CtrSVDD_0044_E_0000044,-2.0127029158
CtrSVDD_0045_E_0000045,-1.3706055147
CtrSVDD_0046_E_0000046,-4.3334390337
CtrSVDD_0047_E_0000047,-3.8776625147
CtrSVDD_0000_E_0000048,-1.3860337204
CtrSVDD_0001_E_0000049,-3.7925092159
CtrSVDD_0002_E_0000050,-3.2268402955
CtrSVDD_0003_E_0000051,-3.1599504038
CtrSVDD_0004_E_0000052,-3.7539976050
CtrSVDD_0005_E_0000053,-4.4942693077
CtrSVDD_0006_E_0000054,1.3216605747
CtrSVDD_0007_E_0000055,-1.0710719512
CtrSVDD_0008_E_0000056,-3.7936654668
CtrSVDD_0009_E_0000057,-3.4370096656
CtrSVDD_0010_E_0000058,-4.9227664211
CtrSVDD_0011_E_0000059,-4.5337267507
CtrSVDD_0012_E_0000060,-2.5968069632
CtrSVDD_0013_E_0000061,-0.4982580650
CtrSVDD_0014_E_0000062,-2.9116544990
CtrSVDD_0015_E_0000063,0.6788469523
CtrSVDD_0016_E_0000064,-6.7174544347
CtrSVDD_0017_E_0000065,-4.2757868181
CtrSVDD_0018_E_0000066,-3.5322058836
CtrSVDD_0019_E_0000067,-5.0107021219
CtrSVDD_0020_E_0000068,-4.6983759941
CtrSVDD_0021_E_0000069,-1.6333132250
