filename,score
CtrSVDD_0000_E_0000000,-3.2488055408
CtrSVDD_0001_E_0000001,1.5836154758
CtrSVDD_0002_E_0000002,-7.8929052550
CtrSVDD_0003_E_0000003,-3.4762421635
CtrSVDD_0004_E_0000004,-5.1172059466
CtrSVDD_0005_E_0000005,-2.7906018919
CtrSVDD_0006_E_0000006,-4.5487000606
CtrSVDD_0007_E_0000007,-2.6868884036
CtrSVDD_0008_E_0000008,-3.6483731062
CtrSVDD_0009_E_0000009,-2.0502195444
CtrSVDD_0010_E_0000010,-2.4138347951
CtrSVDD_0011_E_0000011,-2.5614929866
CtrSVDD_0012_E_0000012,-5.4737315524
CtrSVDD_0013_E_0000013,0.2581165434
CtrSVDD_0014_E_0000014,-5.5897931581
CtrSVDD_0015_E_0000015,-2.9805724043
CtrSVDD_0016_E_0000016,-1.9009117199
CtrSVDD_0017_E_0000017,-5.2236043592
CtrSVDD_0018_E_0000018,-5.2381816954
CtrSVDD_0019_E_0000019,-6.1280392898
CtrSVDD_0020_E_0000020,-5.1356969218
CtrSVDD_0021_E_0000021,-4.9340610363
CtrSVDD_0022_E_0000022,-2.6312239345
CtrSVDD_0023_E_0000023,-0.3607407941
CtrSVDD_0024_E_0000024,-4.7991597469
CtrSVDD_0025_E_0000025,-0.1978122464
CtrSVDD_0026_E_0000026,-5.1821081223
CtrSVDD_0027_E_0000027,-4.7366481919
CtrSVDD_0028_E_0000028,-5.2897943258
CtrSVDD_0029_E_0000029,1.2934064059
CtrSVDD_0030_E_0000030,-1.7227936870
CtrSVDD_0031_E_0000031,-2.5566803961
CtrSVDD_0032_E_0000032,-2.3372968827
CtrSVDD_0033_E_0000033,-2.4965308203
CtrSVDD_0034_E_0000034,-3.6587660523
CtrSVDD_0035_E_0000035,-3.8496849405
CtrSVDD_0036_E_0000036,-4.0429326008
CtrSVDD_0037_E_0000037,-3.9026489625
CtrSVDD_0038_E_0000038,-0.4443244374
CtrSVDD_0039_E_0000039,-3.8464033946
CtrSVDD_0040_E_0000040,-1.0443641049
CtrSVDD_0041_E_0000041,-5.2705810855
CtrSVDD_0042_E_0000042,-0.9522704869
