filename,score
CtrSVDD_0000_E_0000000,-5.9563585216
CtrSVDD_0001_E_0000001,-2.0814974982
CtrSVDD_0002_E_0000002,-5.9409254219
CtrSVDD_0003_E_0000003,-5.4266365356
CtrSVDD_0004_E_0000004,-6.3515296573
CtrSVDD_0005_E_0000005,-5.8841490803
CtrSVDD_0006_E_0000006,-5.1645259274
CtrSVDD_0007_E_0000007,-5.1273676496
CtrSVDD_0008_E_0000008,-4.5395733135
CtrSVDD_0009_E_0000009,0.6562059672
CtrSVDD_0010_E_0000010,-3.9546856855
CtrSVDD_0011_E_0000011,-4.8728972248
CtrSVDD_0012_E_0000012,-5.4634904866
CtrSVDD_0013_E_0000013,0.1241106340
CtrSVDD_0014_E_0000014,-6.8383003998
CtrSVDD_0015_E_0000015,-4.9136379642
CtrSVDD_0016_E_0000016,-4.0352283775
CtrSVDD_0017_E_0000017,-4.9639125532
CtrSVDD_0018_E_0000018,-5.3771939490
CtrSVDD_0019_E_0000019,-4.0084831475
CtrSVDD_0020_E_0000020,-4.5042575434
CtrSVDD_0021_E_0000021,-6.1116491798
CtrSVDD_0022_E_0000022,-5.5197990424
CtrSVDD_0023_E_0000023,-3.2078081991
CtrSVDD_0024_E_0000024,-6.9578323214
CtrSVDD_0025_E_0000025,-0.4691661305
CtrSVDD_0026_E_0000026,-7.5564003256
CtrSVDD_0027_E_0000027,-5.4777358123
CtrSVDD_0028_E_0000028,-4.9885241021
CtrSVDD_0029_E_0000029,-0.4458688780
CtrSVDD_0030_E_0000030,-4.8582036245
CtrSVDD_0031_E_0000031,-3.1025867620
CtrSVDD_0032_E_0000032,-5.4085886219
CtrSVDD_0033_E_0000033,-6.3008827215
CtrSVDD_0034_E_0000034,-6.2039918755
CtrSVDD_0035_E_0000035,-4.3253488845
CtrSVDD_0036_E_0000036,-3.9607362668
CtrSVDD_0037_E_0000037,-5.2622646998
CtrSVDD_0038_E_0000038,1.3399994132
CtrSVDD_0039_E_0000039,-6.2420474801
CtrSVDD_0040_E_0000040,0.3954344060
CtrSVDD_0041_E_0000041,-5.1963192392
CtrSVDD_0042_E_0000042,0.1029927185
CtrSVDD_0043_E_0000043,-6.5376321044
CtrSVDD_0044_E_0000044,-3.5204540986
CtrSVDD_0045_E_0000045,-5.0935786855
CtrSVDD_0046_E_0000046,-3.8682566547
CtrSVDD_0047_E_0000047,-5.4074773287
CtrSVDD_0000_E_0000048,-0.7127435471
CtrSVDD_0001_E_0000049,-2.7428810586
CtrSVDD_0002_E_0000050,-4.8743154424
CtrSVDD_0003_E_0000051,-5.6066273034
CtrSVDD_0004_E_0000052,-4.2552152605
CtrSVDD_0005_E_0000053,-4.2825562556
CtrSVDD_0006_E_0000054,2.3087101115
CtrSVDD_0007_E_0000055,-4.4684063834
CtrSVDD_0008_E_0000056,-4.8464236567
CtrSVDD_0009_E_0000057,-5.0018066886
CtrSVDD_0010_E_0000058,-6.1265650553
CtrSVDD_0011_E_0000059,-5.5250166696
CtrSVDD_0012_E_0000060,-2.4288613645
CtrSVDD_0013_E_0000061,-4.6454707936
CtrSVDD_0014_E_0000062,-5.6874151297
CtrSVDD_0015_E_0000063,-3.3651645702
CtrSVDD_0016_E_0000064,-4.6006178447
CtrSVDD_0017_E_0000065,-3.6197544018
CtrSVDD_0018_E_0000066,-5.9392942988
CtrSVDD_0019_E_0000067,-4.7535949403
CtrSVDD_0020_E_0000068,-3.7179694658
CtrSVDD_0021_E_0000069,-3.0696015308
CtrSVDD_0022_E_0000070,-5.2330165804
CtrSVDD_0023_E_0000071,-4.4072828196
CtrSVDD_0024_E_0000072,-4.7444697562
CtrSVDD_0025_E_0000073,-4.6550968967
CtrSVDD_0026_E_0000074,-5.7772286962
CtrSVDD_0027_E_0000075,-5.5838287571
CtrSVDD_0028_E_0000076,-3.5156745135
CtrSVDD_0029_E_0000077,-0.4974643919
CtrSVDD_0030_E_0000078,-4.8640851018
CtrSVDD_0031_E_0000079,-4.6457497954
CtrSVDD_0032_E_0000080,-4.7305035735
CtrSVDD_0033_E_0000081,-3.3353131017
CtrSVDD_0034_E_0000082,-5.4255821016
CtrSVDD_0035_E_0000083,-5.4570172968
CtrSVDD_0036_E_0000084,-5.3978241944
CtrSVDD_0037_E_0000085,-4.8714293563
