filename,score
CtrSVDD_0000_E_0000000,-7.9066508341
CtrSVDD_0001_E_0000001,-0.7345532687
CtrSVDD_0002_E_0000002,-9.7304713832
CtrSVDD_0003_E_0000003,-5.9678100788
CtrSVDD_0004_E_0000004,-5.2386141041
CtrSVDD_0005_E_0000005,-6.0391591853
CtrSVDD_0006_E_0000006,-8.4957391827
CtrSVDD_0007_E_0000007,-5.9989009853
CtrSVDD_0008_E_0000008,-9.0718569522
CtrSVDD_0009_E_0000009,1.2331435240
CtrSVDD_0010_E_0000010,-4.4541030238
CtrSVDD_0011_E_0000011,-5.4638125498
CtrSVDD_0012_E_0000012,-6.4026714049
CtrSVDD_0013_E_0000013,0.8923416778
CtrSVDD_0014_E_0000014,-6.9482861224
CtrSVDD_0015_E_0000015,-5.6569800682
CtrSVDD_0016_E_0000016,-8.8982635453
CtrSVDD_0017_E_0000017,-6.0290027647
CtrSVDD_0018_E_0000018,-8.2740905413
CtrSVDD_0019_E_0000019,-6.5758059775
CtrSVDD_0020_E_0000020,-7.2727346730
CtrSVDD_0021_E_0000021,-8.8278233060
CtrSVDD_0022_E_0000022,-8.1152579416
CtrSVDD_0023_E_0000023,-2.5053542162
CtrSVDD_0024_E_0000024,-6.6770345190
CtrSVDD_0025_E_0000025,0.8374427401
CtrSVDD_0026_E_0000026,-6.7170983170
CtrSVDD_0027_E_0000027,-6.1296456889
CtrSVDD_0028_E_0000028,-6.9865344970
CtrSVDD_0029_E_0000029,0.3954344060
CtrSVDD_0030_E_0000030,-5.1241180831
CtrSVDD_0031_E_0000031,-6.6213073196
CtrSVDD_0032_E_0000032,-4.8890855967
CtrSVDD_0033_E_0000033,-5.3843548005
CtrSVDD_0034_E_0000034,-5.6314068266
CtrSVDD_0035_E_0000035,-6.1822285787
CtrSVDD_0036_E_0000036,-7.9141266663
CtrSVDD_0037_E_0000037,-6.9085546156
CtrSVDD_0038_E_0000038,-0.3002966440
CtrSVDD_0039_E_0000039,-10.1407244352
CtrSVDD_0040_E_0000040,0.8177421023
CtrSVDD_0041_E_0000041,-6.4872038077
CtrSVDD_0042_E_0000042,0.0987749424
CtrSVDD_0043_E_0000043,-5.0463172601
CtrSVDD_0044_E_0000044,-5.7101176894
