filename,score
CtrSVDD_0000_E_0000000,-5.0997685153
CtrSVDD_0001_E_0000001,2.5555281466
CtrSVDD_0002_E_0000002,-4.6802424908
CtrSVDD_0003_E_0000003,-5.6430035408
CtrSVDD_0004_E_0000004,-6.6511656184
CtrSVDD_0005_E_0000005,-8.9380246451
CtrSVDD_0006_E_0000006,-6.8579245476
CtrSVDD_0007_E_0000007,-5.4632528098
CtrSVDD_0008_E_0000008,-3.6955108667
CtrSVDD_0009_E_0000009,-0.2259133499
CtrSVDD_0010_E_0000010,-5.7058130060
CtrSVDD_0011_E_0000011,-4.3954345270
CtrSVDD_0012_E_0000012,-8.3854426450
CtrSVDD_0013_E_0000013,-1.1249678019
CtrSVDD_0014_E_0000014,-5.8828490929
CtrSVDD_0015_E_0000015,-5.2118781829
CtrSVDD_0016_E_0000016,-9.1962695558
CtrSVDD_0017_E_0000017,-6.9073518502
CtrSVDD_0018_E_0000018,-6.7781197238
CtrSVDD_0019_E_0000019,-5.6742626221
CtrSVDD_0020_E_0000020,-9.5050399778
CtrSVDD_0021_E_0000021,-4.0624292565
CtrSVDD_0022_E_0000022,-6.0947488958
CtrSVDD_0023_E_0000023,-2.1966779914
CtrSVDD_0024_E_0000024,-7.0448225320
CtrSVDD_0025_E_0000025,-0.2639055764
CtrSVDD_0026_E_0000026,-6.6642484655
CtrSVDD_0027_E_0000027,-6.0471202620
CtrSVDD_0028_E_0000028,-6.5956235671
CtrSVDD_0029_E_0000029,-1.0395498058
CtrSVDD_0030_E_0000030,-4.7943505851
CtrSVDD_0031_E_0000031,-6.3400222601
CtrSVDD_0032_E_0000032,-5.4082088729
CtrSVDD_0033_E_0000033,-5.2756454022
CtrSVDD_0034_E_0000034,-6.6816846686
CtrSVDD_0035_E_0000035,-8.3236089766
CtrSVDD_0036_E_0000036,-5.3971834957
CtrSVDD_0037_E_0000037,-7.1319968598
CtrSVDD_0038_E_0000038,-0.6201542326
CtrSVDD_0039_E_0000039,-7.4301135522
CtrSVDD_0040_E_0000040,-0.4458688780
CtrSVDD_0041_E_0000041,-5.3572271337
CtrSVDD_0042_E_0000042,0.3698482853
CtrSVDD_0043_E_0000043,-6.2312387491
CtrSVDD_0044_E_0000044,-4.3060988611
CtrSVDD_0045_E_0000045,-6.9686814746
CtrSVDD_0046_E_0000046,-4.8286313637
CtrSVDD_0047_E_0000047,-7.9980351305
CtrSVDD_0000_E_0000048,0.2307328886
CtrSVDD_0001_E_0000049,-6.6913427975
CtrSVDD_0002_E_0000050,-6.4498153191
CtrSVDD_0003_E_0000051,-6.4500949157
CtrSVDD_0004_E_0000052,-7.0810890566
CtrSVDD_0005_E_0000053,-6.2743651109
CtrSVDD_0006_E_0000054,0.3488224086
CtrSVDD_0007_E_0000055,-7.3146376605
CtrSVDD_0008_E_0000056,-6.9584892080
CtrSVDD_0009_E_0000057,-6.4813581028
CtrSVDD_0010_E_0000058,-4.7773583238
CtrSVDD_0011_E_0000059,-3.7403754878
CtrSVDD_0012_E_0000060,-6.3945880655
CtrSVDD_0013_E_0000061,-2.8703824538
CtrSVDD_0014_E_0000062,-6.0024300099
CtrSVDD_0015_E_0000063,-4.1253148124
CtrSVDD_0016_E_0000064,-5.2888194102
CtrSVDD_0017_E_0000065,-7.4542446917
CtrSVDD_0018_E_0000066,-5.0057379805
CtrSVDD_0019_E_0000067,-7.7756936486
CtrSVDD_0020_E_0000068,-6.5850887247
CtrSVDD_0021_E_0000069,-3.7294512432
CtrSVDD_0022_E_0000070,-5.7427488390
CtrSVDD_0023_E_0000071,-6.0776778910
CtrSVDD_0024_E_0000072,-5.8146956599
CtrSVDD_0025_E_0000073,-7.3447401045
CtrSVDD_0026_E_0000074,-6.5860275967
CtrSVDD_0027_E_0000075,-2.6490700163
CtrSVDD_0028_E_0000076,-3.2049040574
CtrSVDD_0029_E_0000077,-0.6509682782
CtrSVDD_0030_E_0000078,-7.8826738210
CtrSVDD_0031_E_0000079,-6.0322402442
CtrSVDD_0032_E_0000080,-5.4722198890
CtrSVDD_0033_E_0000081,-5.4988415718
CtrSVDD_0034_E_0000082,-6.1627716432
CtrSVDD_0035_E_0000083,-7.0422865525
CtrSVDD_0036_E_0000084,-5.4145589364
CtrSVDD_0037_E_0000085,-5.1532685660
CtrSVDD_0038_E_0000086,-6.4341650003
CtrSVDD_0039_E_0000087,-5.6922266124
CtrSVDD_0040_E_0000088,-7.7399925983
CtrSVDD_0041_E_0000089,-7.2648979368
CtrSVDD_0042_E_0000090,-5.1360216568
CtrSVDD_0043_E_0000091,-6.2627104368
CtrSVDD_0044_E_0000092,-5.1781738013
CtrSVDD_0045_E_0000093,-1.4510591404
CtrSVDD_0046_E_0000094,-6.8849839460
CtrSVDD_0047_E_0000095,-6.5891678055
CtrSVDD_0000_E_0000096,-6.9700366669
CtrSVDD_0001_E_0000097,-4.7460012175
CtrSVDD_0002_E_0000098,-5.3389795548
CtrSVDD_0003_E_0000099,-3.7085141104
CtrSVDD_0004_E_0000100,-7.6165428667
CtrSVDD_0005_E_0000101,-7.8697903355
CtrSVDD_0006_E_0000102,-3.4420230117
CtrSVDD_0007_E_0000103,0.0090922479
CtrSVDD_0008_E_0000104,-5.3895349355
CtrSVDD_0009_E_0000105,-7.0117226558
CtrSVDD_0010_E_0000106,-1.3918333381
CtrSVDD_0011_E_0000107,-7.2212055435
CtrSVDD_0012_E_0000108,-6.9786711166
CtrSVDD_0013_E_0000109,-0.2350446126
CtrSVDD_0014_E_0000110,-5.2141118090
CtrSVDD_0015_E_0000111,-8.3869824620
CtrSVDD_0016_E_0000112,-5.9819574052
CtrSVDD_0017_E_0000113,0.0356766635
CtrSVDD_0018_E_0000114,-4.6860114483
CtrSVDD_0019_E_0000115,-5.2015043650
CtrSVDD_0020_E_0000116,-6.0974023175
CtrSVDD_0021_E_0000117,0.8041385478
CtrSVDD_0022_E_0000118,-5.9808064791
CtrSVDD_0023_E_0000119,-7.6728408829
