set,track_id,trial_index,score
T01,T01_bonafide_0000,0,0.8778962951
T01,T01_bonafide_0001,1,0.7170660652
T01,T01_spoof_0000,2,1.7448101441
T01,T01_spoof_0001,3,1.7117094454
T01,T01_spoof_0002,4,1.6090069739
T01,T01_spoof_0003,5,1.6933177081
T01,T01_bonafide_0002,6,1.7132494016
T01,T01_spoof_0004,7,1.7083030981
T01,T01_bonafide_0003,8,2.1280452342
T01,T01_spoof_0005,9,1.7940432051
T01,T01_bonafide_0004,10,0.2619845763
T01,T01_bonafide_0005,11,2.3263478740
T01,T01_spoof_0006,12,1.7619859302
T01,T01_spoof_0007,13,1.6345395156
T01,T01_bonafide_0006,14,-1.7132494016
T01,T01_bonafide_0007,15,1.0954184989
T01,T01_bonafide_0008,16,-1.1918161717
T01,T01_bonafide_0009,17,-0.2793190344
T01,T01_spoof_0008,18,1.5742325002
T01,T01_bonafide_0010,19,-1.9893129909
T01,T01_bonafide_0011,20,1.2627844163
T01,T01_spoof_0009,21,1.7574731339
T01,T01_bonafide_0012,22,0.6536561916
T01,T01_spoof_0010,23,1.4976391812
T01,T01_bonafide_0013,24,-2.1280452342
T01,T01_spoof_0011,25,1.7257676668
T01,T01_spoof_0012,26,1.8300195793
T01,T01_spoof_0013,27,1.7221767977
T01,T01_bonafide_0014,28,-0.0417892978
T01,T01_bonafide_0015,29,-0.9281431228
T01,T01_bonafide_0016,30,-1.4278559203
T01,T01_spoof_0014,31,1.7767195684
T01,T01_spoof_0015,32,1.6867699160
T01,T01_spoof_0016,33,1.7312719076
T01,T01_spoof_0017,34,1.5579102219
T01,T01_spoof_0018,35,1.6671631319
T01,T01_bonafide_0017,36,0.3495630215
T01,T01_spoof_0019,37,1.9456516907
T01,T01_spoof_0020,38,1.6655147152
T01,T01_spoof_0021,39,1.7821403010
T01,T01_spoof_0022,40,1.7066125636
T01,T01_spoof_0023,41,1.8414761837
T01,T01_bonafide_0018,42,-1.5273795175
T01,T01_spoof_0024,43,1.7408269312
T01,T01_bonafide_0019,44,-0.3853204664
T01,T01_bonafide_0020,45,0.2967378383
T01,T01_bonafide_0021,46,0.2104283942
T01,T01_spoof_0025,47,1.7294202072
T01,T01_bonafide_0022,48,0.2793190344
T01,T01_bonafide_0023,49,-0.5148373735
T01,T01_spoof_0026,50,1.4735260886
T01,T01_spoof_0027,51,1.7428056620
T01,T01_spoof_0028,52,1.7331418892
T01,T01_bonafide_0024,53,-0.1763741648
T01,T01_spoof_0029,54,1.7793919588
T01,T01_spoof_0030,55,1.8249884374
T01,T01_bonafide_0025,56,-0.8778962951
T01,T01_spoof_0031,57,1.7531183209
T01,T01_bonafide_0026,58,0.4399131657
T01,T01_bonafide_0027,59,1.8807936082
T01,T01_spoof_0032,60,1.7643083907
T01,T01_bonafide_0028,61,0.9281431228
T01,T01_spoof_0033,62,1.5930238834
T01,T01_bonafide_0029,63,0.0920394870
T01,T01_bonafide_0030,64,0.5927726207
T01,T01_bonafide_0031,65,2.7130518885
T01,T01_spoof_0034,66,1.7369410241
T01,T01_spoof_0035,67,1.8644861136
T01,T01_bonafide_0032,68,1.0364333895
T01,T01_bonafide_0033,69,0.1088350370
T01,T01_spoof_0036,70,1.6327050876
T01,T01_spoof_0037,71,1.8159384655
T01,T01_bonafide_0034,72,-1.3407550337
T01,T01_spoof_0038,73,1.6622040173
T01,T01_spoof_0039,74,1.8557047092
T01,T01_bonafide_0035,75,1.1584837810
T01,T01_bonafide_0036,76,0.7835003754
T01,T01_bonafide_0037,77,-0.0250689083
T01,T01_spoof_0040,78,1.6999212775
T01,T01_bonafide_0038,79,-1.7907505532
T01,T01_spoof_0041,80,1.6504158494
T01,T01_spoof_0042,81,1.7715793463
T01,T01_spoof_0043,82,1.7552772286
T01,T01_bonafide_0039,83,-0.1088350370
T01,T01_bonafide_0040,84,-0.0585213795
T01,T01_bonafide_0041,85,-1.2265281200
T01,T01_spoof_0044,86,1.5321057155
T01,T01_spoof_0045,87,1.7204023516
T01,T01_bonafide_0042,88,-0.7835003754
T01,T01_bonafide_0043,89,-0.1256613469
T01,T01_bonafide_0044,90,0.4958503473
T01,T01_bonafide_0045,91,-0.0083555248
T01,T01_bonafide_0046,92,1.7907505532
T01,T01_spoof_0046,93,1.8885992062
T01,T01_spoof_0047,94,1.6884033035
T01,T01_spoof_0048,95,1.6555127312
T01,T01_spoof_0049,96,1.8203135897
T01,T01_bonafide_0047,97,-0.1425233124
T01,T01_bonafide_0048,98,-0.2447284903
T01,T01_bonafide_0049,99,0.7609839285
T01,T01_bonafide_0050,100,-0.6536561916
T01,T01_spoof_0050,101,1.6521234365
T01,T01_spoof_0051,102,1.6363576280
T01,T01_bonafide_0051,103,0.5533847196
T01,T01_bonafide_0052,104,1.2265281200
T01,T01_bonafide_0053,105,-0.4958503473
T01,T01_bonafide_0054,106,0.6744897502
T01,T01_bonafide_0055,107,-0.8535879575
T01,T01_spoof_0052,108,1.5139788470
T01,T01_spoof_0053,109,1.8118191188
T01,T01_bonafide_0056,110,-0.9541652531
T01,T01_bonafide_0057,111,-1.1263911290
T01,T01_spoof_0054,112,1.6132226244
T01,T01_spoof_0055,113,1.7032538587
T01,T01_spoof_0056,114,1.6802477790
T01,T01_spoof_0057,115,1.6024168142
T01,T01_spoof_0058,116,1.8750694128
T01,T01_spoof_0059,117,1.5827333360
T01,T01_spoof_0060,118,1.4541867218
T01,T01_spoof_0061,119,1.7489026704
T01,T01_bonafide_0058,120,0.4033827610
T01,T01_spoof_0062,121,1.8354816603
T01,T01_spoof_0063,122,1.7741171417
T01,T01_bonafide_0059,123,-0.4215776353
T01,T01_bonafide_0060,124,0.6331025661
T01,T01_bonafide_0061,125,-0.4033827610
T01,T01_spoof_0064,126,1.7049296723
T01,T01_spoof_0065,127,1.5371368574
T01,T01_bonafide_0062,128,1.3407550337
T01,T01_bonafide_0063,129,1.1263911290
T01,T01_spoof_0066,130,1.6212983636
T01,T01_bonafide_0064,131,1.1918161717
T01,T01_spoof_0067,132,1.7134264808
T01,T01_bonafide_0065,133,-1.0364333895
T01,T01_bonafide_0066,134,0.6956202730
T01,T01_spoof_0068,135,1.7691014114
T01,T01_bonafide_0067,136,-1.3829941271
T01,T01_spoof_0069,137,1.8006791956
T01,T01_spoof_0070,138,1.7275857792
T01,T01_spoof_0071,139,1.8042150729
T01,T01_spoof_0072,140,1.6486988140
T01,T01_bonafide_0068,141,-1.4757910282
T01,T01_spoof_0073,142,1.6452337998
T01,T01_bonafide_0069,143,0.1763741648
T01,T01_spoof_0074,144,1.7151536081
T01,T01_spoof_0075,145,1.6538221967
T01,T01_bonafide_0070,146,1.0082523472
T01,T01_bonafide_0071,147,-0.3142471516
T01,T01_spoof_0076,148,1.6417229432
T01,T01_bonafide_0072,149,0.3142471516
T01,T01_spoof_0077,150,1.4164736041
T01,T01_bonafide_0073,151,0.6128129910
T01,T01_spoof_0078,152,1.6720865420
T01,T01_spoof_0079,153,1.5542045971
T01,T01_bonafide_0074,154,1.9893129909
T01,T01_spoof_0080,155,1.7186408353
T01,T01_bonafide_0075,156,0.9027347916
T01,T01_bonafide_0076,157,0.0083555248
T01,T01_bonafide_0077,158,0.3853204664
T01,T01_bonafide_0078,159,-0.5340118532
T01,T01_spoof_0081,160,1.6769871668
T01,T01_spoof_0082,161,1.6704485643
T01,T01_spoof_0083,162,1.7972939300
T01,T01_bonafide_0079,163,-0.6744897502
T01,T01_spoof_0084,164,1.6688075867
T01,T01_spoof_0085,165,1.6068480662
T01,T01_spoof_0086,166,1.5648313648
T01,T01_bonafide_0080,167,-1.6448536270
T01,T01_bonafide_0081,168,-0.4770404285
T01,T01_bonafide_0082,169,-0.7609839285
T01,T01_bonafide_0083,170,-0.3318533464
T01,T01_spoof_0087,171,1.7468419266
T01,T01_spoof_0088,172,1.4870558820
T01,T01_bonafide_0084,173,-0.5729675485
T01,T01_bonafide_0085,174,-0.7388468492
T01,T01_bonafide_0086,175,0.2275449766
T01,T01_spoof_0089,176,1.6786178145
T01,T01_bonafide_0087,177,0.4770404285
T01,T01_bonafide_0088,178,0.0585213795
T01,T01_spoof_0090,179,1.7239649613
T01,T01_spoof_0091,180,1.6232527908
T01,T01_bonafide_0089,181,0.2447284903
T01,T01_spoof_0092,182,1.7597084806
T01,T01_bonafide_0090,183,0.4583978074
T01,T01_spoof_0093,184,1.5954462455
T01,T01_bonafide_0091,185,-0.4399131657
T01,T01_spoof_0094,186,1.9079385730
T01,T01_spoof_0095,187,1.6982634506
T01,T01_bonafide_0092,188,-2.7130518885
T01,T01_spoof_0096,189,1.5680820897
T01,T01_bonafide_0093,190,-0.8297738353
T01,T01_bonafide_0094,191,-0.4583978074
T01,T01_bonafide_0095,192,-1.1584837810
T01,T01_spoof_0097,193,1.5905459485
T01,T01_spoof_0098,194,1.7350312184
T01,T01_spoof_0099,195,1.6434844595
T01,T01_spoof_0100,196,1.6900387528
T01,T01_spoof_0101,197,1.6753553788
T01,T01_bonafide_0096,198,-1.5833867842
T01,T01_spoof_0102,199,1.5461868293
T01,T01_bonafide_0097,200,0.5148373735
T01,T01_spoof_0103,201,1.6851381280
T01,T01_bonafide_0098,202,-0.9027347916
T01,T01_bonafide_0099,203,0.3318533464
T01,T01_spoof_0104,204,1.6270940764
T01,T01_bonafide_0100,205,0.8064212470
T01,T01_bonafide_0101,206,1.4757910282
T01,T01_spoof_0105,207,1.6966105796
T01,T01_spoof_0106,208,1.7509941607
T01,T01_spoof_0107,209,1.5503061760
T01,T01_bonafide_0102,210,-0.2275449766
T01,T01_spoof_0108,211,1.7388725040
T01,T01_spoof_0109,212,1.5880081531
T01,T01_spoof_0110,213,1.6949621629
T01,T01_spoof_0111,214,1.6638618442
T01,T01_bonafide_0103,215,0.8535879575
T01,T01_bonafide_0104,216,0.4215776353
T01,T01_bonafide_0105,217,0.0250689083
T01,T01_spoof_0112,218,1.6111311341
T01,T01_spoof_0113,219,1.8079206977
T01,T01_spoof_0114,220,1.6737219913
T01,T01_spoof_0115,221,1.5854057264
T01,T01_spoof_0116,222,1.7168914950
T01,T01_spoof_0117,223,1.6046521609
T01,T01_bonafide_0106,224,-1.2627844163
T01,T01_spoof_0118,225,1.7878927946
T01,T01_spoof_0119,226,1.7100018583
T01,T01_spoof_0120,227,1.6001393646
T01,T01_bonafide_0107,228,-0.3495630215
T01,T01_bonafide_0108,229,0.1425233124
T01,T01_bonafide_0109,230,0.3673830229
T01,T01_spoof_0121,231,1.7666790493
T01,T01_bonafide_0110,232,-1.0654625443
T01,T01_bonafide_0111,233,-0.6128129910
T01,T01_spoof_0122,234,1.6193196328
T01,T01_spoof_0123,235,1.6916767305
T01,T01_bonafide_0112,236,-1.0082523472
T01,T01_bonafide_0113,237,1.3007812744
T01,T01_spoof_0124,238,1.7849713550
T01,T01_bonafide_0114,239,1.5833867842
T01,T01_bonafide_0115,240,-0.6331025661
T01,T01_spoof_0125,241,1.6289834056
T01,T01_spoof_0126,242,1.7015845725
T01,T01_bonafide_0116,243,-1.0954184989
T01,T01_spoof_0127,244,1.5266436345
T01,T01_bonafide_0117,245,-1.3007812744
T01,T01_spoof_0128,246,1.5978169041
T01,T01_spoof_0129,247,1.6173151507
T01,T01_bonafide_0118,248,-0.7170660652
T01,T01_bonafide_0119,249,0.0417892978
T01,T01_spoof_0130,250,1.6571956224
T01,T01_bonafide_0120,251,0.1933732459
T01,T01_bonafide_0121,252,0.0752698621
T01,T01_spoof_0131,253,1.5206491111
T01,T01_spoof_0132,254,1.6399484971
T01,T01_spoof_0133,255,1.5799849938
T01,T01_spoof_0134,256,1.5712119097
T01,T01_spoof_0135,257,1.7909133851
T01,T01_spoof_0136,258,1.6818775158
T01,T01_spoof_0137,259,1.6605407223
T01,T01_bonafide_0122,260,-0.0752698621
T01,T01_bonafide_0123,261,-0.2967378383
T01,T01_bonafide_0124,262,-0.1594259016
T01,T01_spoof_0138,263,1.6152833682
T01,T01_bonafide_0125,264,-0.3673830229
T01,T01_spoof_0139,265,1.6469716867
T01,T01_bonafide_0126,266,-0.2104283942
T01,T01_bonafide_0127,267,1.6448536270
T01,T01_bonafide_0128,268,-0.0920394870
T01,T01_spoof_0140,269,1.8481464478
T01,T01_spoof_0141,270,1.6588714361
T01,T01_spoof_0142,271,1.6835074803
T01,T01_spoof_0143,272,1.5771539398
T01,T01_bonafide_0129,273,1.3829941271
T01,T01_bonafide_0130,274,-0.1933732459
T01,T01_spoof_0144,275,1.6381603335
T01,T01_bonafide_0131,276,0.5340118532
T01,T01_bonafide_0132,277,0.9541652531
T01,T01_bonafide_0133,278,-2.3263478740
T01,T01_spoof_0145,279,1.5064205856
T01,T01_bonafide_0134,280,-0.5927726207
T01,T01_bonafide_0135,281,1.0654625443
T01,T01_bonafide_0136,282,0.1256613469
T01,T01_spoof_0146,283,1.5614460992
T01,T01_bonafide_0137,284,-0.8064212470
T01,T01_bonafide_0138,285,0.9808501026
T01,T01_spoof_0147,286,1.5418117051
T01,T01_bonafide_0139,287,-0.5533847196
T01,T01_bonafide_0140,288,1.5273795175
T01,T01_bonafide_0141,289,0.5729675485
T01,T01_bonafide_0142,290,-0.2619845763
T01,T01_spoof_0148,291,1.6251842707
T01,T01_bonafide_0143,292,0.7388468492
T01,T01_spoof_0149,293,1.6308533872
T01,T01_bonafide_0144,294,-0.9808501026
T01,T01_bonafide_0145,295,0.8297738353
T01,T01_bonafide_0146,296,1.4278559203
T01,T01_bonafide_0147,297,-1.8807936082
T01,T01_bonafide_0148,298,-0.6956202730
T01,T01_bonafide_0149,299,0.1594259016
T02,T02_bonafide_0000,0,1.7907505532
T02,T02_spoof_0000,1,1.2688506649
T02,T02_spoof_0001,2,1.2426737563
T02,T02_spoof_0002,3,1.3138431305
T02,T02_spoof_0003,4,1.1668200652
T02,T02_spoof_0004,5,1.1961270628
T02,T02_bonafide_0001,6,-0.3495630215
T02,T02_bonafide_0002,7,1.0954184989
T02,T02_bonafide_0003,8,0.3495630215
T02,T02_bonafide_0004,9,0.4958503473
T02,T02_bonafide_0005,10,0.1763741648
T02,T02_bonafide_0006,11,0.7388468492
T02,T02_bonafide_0007,12,0.9281431228
T02,T02_spoof_0005,13,1.2343246433
T02,T02_bonafide_0008,14,-0.1763741648
T02,T02_bonafide_0009,15,0.2619845763
T02,T02_bonafide_0010,16,1.1584837810
T02,T02_bonafide_0011,17,0.2447284903
T02,T02_spoof_0006,18,1.3319302330
T02,T02_bonafide_0012,19,-0.7388468492
T02,T02_bonafide_0013,20,-1.3407550337
T02,T02_spoof_0007,21,1.3697252971
T02,T02_spoof_0008,22,1.1291180881
T02,T02_spoof_0009,23,1.4202880958
T02,T02_spoof_0010,24,1.2770753627
T02,T02_bonafide_0014,25,-0.1088350370
T02,T02_spoof_0011,26,1.2704886426
T02,T02_spoof_0012,27,1.1940952803
T02,T02_bonafide_0015,28,0.7835003754
T02,T02_spoof_0013,29,1.2590596911
T02,T02_bonafide_0016,30,-0.1425233124
T02,T02_bonafide_0017,31,-0.5927726207
T02,T02_spoof_0014,32,1.0764510933
T02,T02_bonafide_0018,33,-0.9808501026
T02,T02_bonafide_0019,34,0.1256613469
T02,T02_bonafide_0020,35,0.6536561916
T02,T02_bonafide_0021,36,-0.3142471516
