set,track_id,trial_index,score
T01,T01_bonafide_0000,0,-0.1933732459
T01,T01_bonafide_0001,1,-0.0920394870
T01,T01_bonafide_0002,2,0.3853204664
T01,T01_bonafide_0003,3,0.5340118532
T01,T01_spoof_0000,4,2.2714627991
T01,T01_spoof_0001,5,1.8508811343
T01,T01_spoof_0002,6,2.2429232968
T01,T01_spoof_0003,7,2.2959209241
T01,T01_spoof_0004,8,2.3587327950
T01,T01_spoof_0005,9,2.3212452834
T01,T01_bonafide_0004,10,0.1425233124
T01,T01_spoof_0006,11,1.9187141145
T01,T01_bonafide_0005,12,0.0585213795
T01,T01_spoof_0007,13,1.7353792831
T01,T01_bonafide_0006,14,-1.2627844163
T01,T01_bonafide_0007,15,1.5833867842
T01,T01_spoof_0008,16,2.0147290206
T01,T01_spoof_0009,17,1.9332667862
T01,T01_spoof_0010,18,2.5597213844
T01,T01_spoof_0011,19,2.1219611257
T01,T01_spoof_0012,20,1.9974675561
T01,T01_spoof_0013,21,1.8785294791
T01,T01_bonafide_0008,22,0.4399131657
T01,T01_bonafide_0009,23,-1.3829941271
T01,T01_spoof_0014,24,2.4457970868
T01,T01_spoof_0015,25,2.1687495355
T01,T01_spoof_0016,26,2.2382297620
T01,T01_bonafide_0010,27,0.7170660652
T01,T01_spoof_0017,28,2.1361405761
T01,T01_bonafide_0011,29,-0.3142471516
T01,T01_spoof_0018,30,2.2666533767
T01,T01_spoof_0019,31,2.0781558552
T01,T01_bonafide_0012,32,-0.2447284903
T01,T01_spoof_0020,33,2.2860481074
T01,T01_bonafide_0013,34,0.9541652531
T01,T01_bonafide_0014,35,1.7907505532
T01,T01_spoof_0021,36,2.1872249326
T01,T01_bonafide_0015,37,-0.3318533464
T01,T01_spoof_0022,38,2.2762972118
T01,T01_spoof_0023,39,2.4121890429
T01,T01_bonafide_0016,40,-1.3407550337
T01,T01_bonafide_0017,41,-0.4958503473
T01,T01_bonafide_0018,42,0.2967378383
T01,T01_spoof_0024,43,2.0880955704
T01,T01_bonafide_0019,44,0.3673830229
T01,T01_spoof_0025,45,2.4529819325
T01,T01_spoof_0026,46,1.7952934801
T01,T01_spoof_0027,47,2.3477312608
T01,T01_bonafide_0020,48,-1.0954184989
T01,T01_spoof_0028,49,1.8193424885
T01,T01_spoof_0029,50,1.9668748300
T01,T01_bonafide_0021,51,0.5533847196
T01,T01_bonafide_0022,52,0.2275449766
T01,T01_spoof_0030,53,2.9386196934
T01,T01_spoof_0031,54,1.8076800549
T01,T01_spoof_0032,55,2.5486844213
T01,T01_spoof_0033,56,2.0367395332
T01,T01_spoof_0034,57,1.6950963819
T01,T01_spoof_0035,58,2.2103143374
T01,T01_bonafide_0023,59,0.5927726207
T01,T01_bonafide_0024,60,-1.6448536270
T01,T01_bonafide_0025,61,0.2619845763
T01,T01_bonafide_0026,62,-1.1918161717
T01,T01_spoof_0036,63,1.9604270588
T01,T01_bonafide_0027,64,-0.7170660652
T01,T01_spoof_0037,65,1.8953521787
T01,T01_bonafide_0028,66,1.0954184989
T01,T01_spoof_0038,67,2.1501805076
T01,T01_bonafide_0029,68,-0.8535879575
T01,T01_bonafide_0030,69,-0.4583978074
T01,T01_bonafide_0031,70,0.5729675485
T01,T01_bonafide_0032,71,1.0082523472
T01,T01_spoof_0039,72,2.0979054991
T01,T01_spoof_0040,73,1.6702350254
T01,T01_bonafide_0033,74,0.2104283942
T01,T01_spoof_0041,75,2.7088288475
T01,T01_spoof_0042,76,2.3009080178
T01,T01_spoof_0043,77,2.1733738788
T01,T01_spoof_0044,78,2.3875176118
T01,T01_spoof_0045,79,2.2909683026
T01,T01_spoof_0046,80,1.7164948535
T01,T01_spoof_0047,81,2.0313326121
T01,T01_spoof_0048,82,2.0258643285
T01,T01_bonafide_0034,83,0.6956202730
T01,T01_spoof_0049,84,2.1408341110
T01,T01_spoof_0050,85,2.5713838181
T01,T01_bonafide_0035,86,-0.6956202730
T01,T01_spoof_0051,87,2.7387916143
T01,T01_spoof_0052,88,2.4387817142
T01,T01_spoof_0053,89,2.0629659144
T01,T01_spoof_0054,90,2.4252120173
T01,T01_bonafide_0036,91,1.1584837810
T01,T01_spoof_0055,92,2.2523582897
T01,T01_spoof_0056,93,2.4919826894
T01,T01_bonafide_0037,94,0.4215776353
T01,T01_spoof_0057,95,2.3423243398
T01,T01_bonafide_0038,96,1.4757910282
T01,T01_spoof_0058,97,2.4679156609
T01,T01_bonafide_0039,98,-1.9893129909
T01,T01_spoof_0059,99,2.5185985889
T01,T01_bonafide_0040,100,1.1263911290
T01,T01_spoof_0060,101,2.4186368142
T01,T01_bonafide_0041,102,-0.8064212470
T01,T01_spoof_0061,103,2.7770963093
T01,T01_bonafide_0042,104,0.7388468492
T01,T01_bonafide_0043,105,-0.6536561916
T01,T01_bonafide_0044,106,0.6744897502
T01,T01_bonafide_0045,107,-0.5340118532
T01,T01_bonafide_0046,108,-0.6331025661
T01,T01_bonafide_0047,109,-1.5273795175
T01,T01_bonafide_0048,110,-0.2793190344
T01,T01_bonafide_0049,111,-0.7609839285
T01,T01_bonafide_0050,112,0.0250689083
T01,T01_spoof_0062,113,2.5381932908
T01,T01_bonafide_0051,114,0.0752698621
T01,T01_spoof_0063,115,2.0930157656
T01,T01_spoof_0064,116,1.9915462611
T01,T01_bonafide_0052,117,0.0920394870
T01,T01_spoof_0065,118,2.3316812168
T01,T01_bonafide_0053,119,-0.2275449766
T01,T01_bonafide_0054,120,1.2265281200
T01,T01_bonafide_0055,121,-0.0083555248
T01,T01_spoof_0066,122,1.5472151720
T01,T01_spoof_0067,123,2.1826102803
T01,T01_spoof_0068,124,2.3757620695
T01,T01_bonafide_0056,125,-0.0585213795
T01,T01_bonafide_0057,126,-0.4215776353
T01,T01_bonafide_0058,127,-1.8807936082
T01,T01_spoof_0069,128,2.4837116943
T01,T01_bonafide_0059,129,1.9893129909
T01,T01_bonafide_0060,130,-0.8297738353
T01,T01_bonafide_0061,131,-0.5729675485
T01,T01_bonafide_0062,132,0.2793190344
T01,T01_spoof_0070,133,2.2335502583
T01,T01_bonafide_0063,134,0.6331025661
T01,T01_spoof_0071,135,2.1641193548
T01,T01_bonafide_0064,136,-0.2104283942
T01,T01_spoof_0072,137,1.7678144966
T01,T01_spoof_0073,138,2.4058604709
T01,T01_bonafide_0065,139,0.4583978074
T01,T01_bonafide_0066,140,1.3829941271
T01,T01_spoof_0074,141,1.8408705821
T01,T01_spoof_0075,142,1.8870811836
T01,T01_bonafide_0067,143,1.0654625443
T01,T01_spoof_0076,144,2.2476323121
T01,T01_spoof_0077,145,2.5281827386
T01,T01_spoof_0078,146,2.3531995444
T01,T01_bonafide_0068,147,-0.7388468492
T01,T01_bonafide_0069,148,-0.2967378383
T01,T01_bonafide_0070,149,-0.0752698621
T01,T01_bonafide_0071,150,-0.1088350370
T01,T01_bonafide_0072,151,1.1918161717
T01,T01_spoof_0079,152,2.1027666612
T01,T01_spoof_0080,153,2.1267055833
T01,T01_bonafide_0073,154,-1.7132494016
T01,T01_bonafide_0074,155,-1.0082523472
T01,T01_bonafide_0075,156,0.9281431228
T01,T01_spoof_0081,157,1.4404441795
T01,T01_bonafide_0076,158,-1.4278559203
T01,T01_bonafide_0077,159,1.8807936082
T01,T01_bonafide_0078,160,0.3318533464
T01,T01_spoof_0082,161,1.9855324732
T01,T01_bonafide_0079,162,-0.0250689083
T01,T01_bonafide_0080,163,1.2627844163
T01,T01_spoof_0083,164,2.3700098154
T01,T01_spoof_0084,165,2.2288833654
T01,T01_spoof_0085,166,2.2056899941
T01,T01_spoof_0086,167,1.8696685307
T01,T01_spoof_0087,168,2.1918389404
T01,T01_spoof_0088,169,2.3264387999
T01,T01_bonafide_0081,170,0.1763741648
T01,T01_spoof_0089,171,2.0578185896
T01,T01_bonafide_0082,172,-2.7130518885
T01,T01_bonafide_0083,173,0.2447284903
T01,T01_spoof_0090,174,2.1548361841
T01,T01_bonafide_0084,175,-0.6744897502
T01,T01_bonafide_0085,176,-0.4770404285
T01,T01_spoof_0091,177,2.2242276888
T01,T01_bonafide_0086,178,-1.7907505532
T01,T01_bonafide_0087,179,0.8535879575
