set,track_id,trial_index,score
T01,T01_bonafide_0000,0,1.5273795175
T01,T01_spoof_0000,1,1.9347338044
T01,T01_spoof_0001,2,2.0502502890
T01,T01_bonafide_0001,3,-0.0585213795
T01,T01_spoof_0002,4,2.1334197805
T01,T01_bonafide_0002,5,1.7907505532
T01,T01_bonafide_0003,6,-0.2619845763
T01,T01_spoof_0003,7,2.0692231304
T01,T01_spoof_0004,8,1.9715243268
T01,T01_spoof_0005,9,2.0186950566
T01,T01_spoof_0006,10,2.0231970004
T01,T01_spoof_0007,11,1.9398449277
T01,T01_spoof_0008,12,2.0126457178
T01,T01_bonafide_0004,13,1.1263911290
T01,T01_spoof_0009,14,2.0939837974
T01,T01_spoof_0010,15,2.0901800560
T01,T01_spoof_0011,16,2.1899060992
T01,T01_bonafide_0005,17,-1.3829941271
T01,T01_bonafide_0006,18,-0.3495630215
T01,T01_bonafide_0007,19,-0.9027347916
T01,T01_bonafide_0008,20,-0.6744897502
T01,T01_bonafide_0009,21,-0.9281431228
T01,T01_bonafide_0010,22,-0.5340118532
T01,T01_spoof_0012,23,2.0171886191
T01,T01_bonafide_0011,24,-2.1280452342
T01,T01_spoof_0013,25,2.0080576723
T01,T01_spoof_0014,26,1.9470018358
T01,T01_spoof_0015,27,2.0846698928
T01,T01_bonafide_0012,28,0.9808501026
T01,T01_bonafide_0013,29,0.1088350370
T01,T01_spoof_0016,30,2.0793606082
T01,T01_bonafide_0014,31,-0.5729675485
T01,T01_spoof_0017,32,1.9787329998
T01,T01_spoof_0018,33,2.0156785523
T01,T01_bonafide_0015,34,-0.3853204664
T01,T01_bonafide_0016,35,1.7132494016
T01,T01_bonafide_0017,36,1.1918161717
T01,T01_spoof_0019,37,1.9822132773
T01,T01_bonafide_0018,38,0.2275449766
T01,T01_spoof_0020,39,2.0708745367
T01,T01_bonafide_0019,40,0.7609839285
T01,T01_bonafide_0020,41,-1.6448536270
T01,T01_spoof_0021,42,2.0759168123
T01,T01_spoof_0022,43,2.1061805780
T01,T01_bonafide_0021,44,-1.4278559203
T01,T01_spoof_0023,45,1.9422930271
T01,T01_bonafide_0022,46,-1.7907505532
T01,T01_spoof_0024,47,2.2377560294
T01,T01_bonafide_0023,48,0.4033827610
T01,T01_spoof_0025,49,2.0883187989
T01,T01_bonafide_0024,50,-0.1594259016
T01,T01_bonafide_0025,51,-0.8064212470
T01,T01_bonafide_0026,52,-0.3142471516
T01,T01_spoof_0026,53,2.0441645734
T01,T01_bonafide_0027,54,1.1584837810
T01,T01_spoof_0027,55,1.8699370265
T01,T01_spoof_0028,56,1.8398033303
T01,T01_spoof_0029,57,1.9557900865
T01,T01_bonafide_0028,58,-1.3407550337
T01,T01_spoof_0030,59,2.0321612035
T01,T01_spoof_0031,60,1.8521975823
T01,T01_bonafide_0029,61,-0.1425233124
T01,T01_bonafide_0030,62,-1.1263911290
T01,T01_spoof_0032,63,1.9804825175
T01,T01_spoof_0033,64,2.0246932994
T01,T01_bonafide_0031,65,0.1594259016
T01,T01_bonafide_0032,66,-0.9808501026
T01,T01_bonafide_0033,67,0.2967378383
T01,T01_spoof_0034,68,2.0595691336
T01,T01_bonafide_0034,69,1.9893129909
T01,T01_bonafide_0035,70,1.4757910282
T01,T01_bonafide_0036,71,-0.2104283942
T01,T01_spoof_0035,72,2.0095928367
T01,T01_bonafide_0037,73,1.6448536270
T01,T01_bonafide_0038,74,-1.3007812744
T01,T01_spoof_0036,75,2.0471974079
T01,T01_spoof_0037,76,2.1427379341
T01,T01_bonafide_0039,77,-0.7388468492
T01,T01_bonafide_0040,78,-0.4583978074
T01,T01_spoof_0038,79,2.1083522697
T01,T01_bonafide_0041,80,-1.0082523472
T01,T01_bonafide_0042,81,0.8778962951
T01,T01_bonafide_0043,82,0.0585213795
T01,T01_bonafide_0044,83,0.7170660652
T01,T01_spoof_0039,84,1.8618926362
T01,T01_spoof_0040,85,2.0276819222
T01,T01_spoof_0041,86,1.9203443064
T01,T01_spoof_0042,87,2.0811101259
T01,T01_spoof_0043,88,1.9063657311
T01,T01_bonafide_0045,89,-0.6128129910
T01,T01_spoof_0044,90,2.0201983086
T01,T01_spoof_0045,91,2.0381443132
T01,T01_bonafide_0046,92,1.0082523472
T01,T01_spoof_0046,93,1.9769636270
T01,T01_spoof_0047,94,2.0111220215
T01,T01_spoof_0048,95,1.9986918208
T01,T01_spoof_0049,96,1.9137105760
T01,T01_spoof_0050,97,2.0141644051
T01,T01_bonafide_0047,98,-0.0920394870
T01,T01_spoof_0051,99,1.9619357338
T01,T01_spoof_0052,100,2.0776298484
T01,T01_bonafide_0048,101,0.5533847196
T01,T01_spoof_0053,102,1.9514908560
T01,T01_bonafide_0049,103,1.2627844163
T01,T01_bonafide_0050,104,0.2447284903
T01,T01_bonafide_0051,105,-0.6536561916
T01,T01_spoof_0054,106,2.2076455434
T01,T01_bonafide_0052,107,-1.9893129909
T01,T01_spoof_0055,108,1.9696630697
T01,T01_spoof_0056,109,1.9536625477
T01,T01_spoof_0057,110,1.9889685890
T01,T01_bonafide_0053,111,-0.0417892978
T01,T01_spoof_0058,112,1.8220870963
T01,T01_spoof_0059,113,1.9751732329
T01,T01_bonafide_0054,114,1.0654625443
T01,T01_spoof_0060,115,2.1019667335
T01,T01_spoof_0061,116,1.9373272510
T01,T01_spoof_0062,117,1.9023578065
T01,T01_bonafide_0055,118,0.3673830229
T01,T01_bonafide_0056,119,1.3007812744
T01,T01_bonafide_0057,120,0.0417892978
T01,T01_spoof_0063,121,2.1394988193
T01,T01_bonafide_0058,122,-0.2275449766
T01,T01_bonafide_0059,123,0.0250689083
T01,T01_spoof_0064,124,2.1305526430
T01,T01_spoof_0065,125,2.0979073919
T01,T01_spoof_0066,126,1.9639134467
T01,T01_bonafide_0060,127,-0.3318533464
T01,T01_bonafide_0061,128,2.3263478740
T01,T01_bonafide_0062,129,-0.1256613469
T01,T01_bonafide_0063,130,-0.1933732459
T01,T01_bonafide_0064,131,0.3318533464
T01,T01_bonafide_0065,132,-0.4958503473
T01,T01_spoof_0067,133,2.1461325497
T01,T01_spoof_0068,134,2.0517854534
T01,T01_spoof_0069,135,2.0396448171
T01,T01_spoof_0070,136,2.0999189972
T01,T01_spoof_0071,137,1.8980753139
T01,T01_bonafide_0066,138,0.0083555248
T01,T01_spoof_0072,139,2.0675850456
T01,T01_bonafide_0067,140,0.6128129910
T01,T01_bonafide_0068,141,-0.2793190344
T01,T01_spoof_0073,142,1.9906199953
T01,T01_bonafide_0069,143,0.8064212470
T01,T01_bonafide_0070,144,-0.0752698621
T01,T01_spoof_0074,145,1.9873030688
