set,track_id,trial_index,score
T01,T01_bonafide_0000,0,0.2447284903
T01,T01_spoof_0000,1,2.0063704663
T01,T01_spoof_0001,2,1.9264729368
T01,T01_spoof_0002,3,1.8726883104
T01,T01_bonafide_0001,4,0.1933732459
T01,T01_spoof_0003,5,1.8304127917
T01,T01_spoof_0004,6,1.9233984970
T01,T01_bonafide_0002,7,-0.7388468492
T01,T01_spoof_0005,8,1.9609912427
T01,T01_bonafide_0003,9,1.9893129909
T01,T01_bonafide_0004,10,-1.3007812744
T01,T01_bonafide_0005,11,-1.0654625443
T01,T01_spoof_0006,12,1.9097385520
T01,T01_bonafide_0006,13,0.0752698621
T01,T01_bonafide_0007,14,1.8807936082
T01,T01_bonafide_0008,15,0.1763741648
T01,T01_bonafide_0009,16,1.0082523472
T01,T01_bonafide_0010,17,1.1918161717
T01,T01_spoof_0007,18,2.0772746839
T01,T01_spoof_0008,19,1.9936180238
T01,T01_spoof_0009,20,2.0504245865
T01,T01_bonafide_0011,21,2.7130518885
T01,T01_spoof_0010,22,1.9867324086
T01,T01_spoof_0011,23,2.0363831506
T01,T01_spoof_0012,24,2.0249107622
T01,T01_bonafide_0012,25,-0.0417892978
T01,T01_spoof_0013,26,1.9438929928
T01,T01_bonafide_0013,27,1.5833867842
T01,T01_spoof_0014,28,1.9455356389
T01,T01_spoof_0015,29,2.1524115471
T01,T01_bonafide_0014,30,1.2265281200
T01,T01_bonafide_0015,31,1.7132494016
T01,T01_spoof_0016,32,1.8085801603
T01,T01_bonafide_0016,33,0.6956202730
T01,T01_bonafide_0017,34,0.0920394870
T01,T01_spoof_0017,35,1.8484627723
T01,T01_bonafide_0018,36,0.8297738353
T01,T01_bonafide_0019,37,0.7170660652
T01,T01_spoof_0018,38,1.9218683959
T01,T01_spoof_0019,39,2.0453682111
T01,T01_spoof_0020,40,1.7900398644
T01,T01_bonafide_0020,41,-2.3263478740
T01,T01_spoof_0021,42,1.9173010170
T01,T01_spoof_0022,43,1.8915521296
T01,T01_spoof_0023,44,1.9311274652
T01,T01_spoof_0024,45,1.9574352752
T01,T01_spoof_0025,46,1.8427380843
T01,T01_spoof_0026,47,1.9683687226
T01,T01_bonafide_0021,48,-0.8535879575
T01,T01_bonafide_0022,49,0.3673830229
T01,T01_bonafide_0023,50,-1.0082523472
T01,T01_bonafide_0024,51,-0.5729675485
T01,T01_bonafide_0025,52,-1.4757910282
T01,T01_bonafide_0026,53,0.8535879575
T01,T01_spoof_0027,54,1.8325627475
T01,T01_spoof_0028,55,2.0010452491
T01,T01_spoof_0029,56,1.9823878791
T01,T01_bonafide_0027,57,-1.9893129909
T01,T01_bonafide_0028,58,0.5148373735
T01,T01_bonafide_0029,59,-0.1256613469
T01,T01_bonafide_0030,60,-0.9808501026
T01,T01_bonafide_0031,61,-1.8807936082
T01,T01_spoof_0030,62,2.0182071352
T01,T01_bonafide_0032,63,0.5533847196
T01,T01_spoof_0031,64,1.7589767702
T01,T01_bonafide_0033,65,-0.6536561916
T01,T01_spoof_0032,66,1.8976496095
T01,T01_bonafide_0034,67,0.7835003754
T01,T01_bonafide_0035,68,-1.2627844163
T01,T01_spoof_0033,69,1.9358457673
T01,T01_spoof_0034,70,1.9127586646
T01,T01_spoof_0035,71,1.8806856124
T01,T01_spoof_0036,72,1.9082296559
T01,T01_bonafide_0036,73,-1.1584837810
T01,T01_spoof_0037,74,2.0691455335
T01,T01_bonafide_0037,75,0.2104283942
T01,T01_bonafide_0038,76,1.6448536270
T01,T01_bonafide_0039,77,1.5273795175
T01,T01_spoof_0038,78,1.8446742255
T01,T01_bonafide_0040,79,-0.3495630215
T01,T01_bonafide_0041,80,2.3263478740
T01,T01_spoof_0039,81,1.9722125423
T01,T01_spoof_0040,82,1.9374352669
T01,T01_spoof_0041,83,1.8694149877
T01,T01_bonafide_0042,84,0.0250689083
T01,T01_spoof_0042,85,1.8407716998
T01,T01_bonafide_0043,86,0.4215776353
T01,T01_spoof_0043,87,1.8236818990
T01,T01_spoof_0044,88,1.9021919620
T01,T01_spoof_0045,89,1.8869323926
T01,T01_spoof_0046,90,1.9960271508
T01,T01_bonafide_0044,91,-0.2793190344
T01,T01_bonafide_0045,92,-0.1594259016
T01,T01_bonafide_0046,93,-0.2275449766
T01,T01_spoof_0047,94,2.0621486750
T01,T01_bonafide_0047,95,-0.7835003754
T01,T01_spoof_0048,96,1.9522410316
T01,T01_spoof_0049,97,1.8961305184
T01,T01_spoof_0050,98,1.9112480805
T01,T01_bonafide_0048,99,-0.5340118532
T01,T01_spoof_0051,100,1.7826176302
T01,T01_spoof_0052,101,1.7742398606
T01,T01_spoof_0053,102,1.7998773105
T01,T01_spoof_0054,103,1.9249331860
T01,T01_bonafide_0049,104,0.2967378383
T01,T01_spoof_0055,105,1.9280182339
T01,T01_bonafide_0050,106,-1.0364333895
T01,T01_spoof_0056,107,1.7458050931
T01,T01_bonafide_0051,108,-0.0752698621
T01,T01_spoof_0057,109,1.7278787364
T01,T01_bonafide_0052,110,0.1256613469
T01,T01_spoof_0058,111,1.9912687276
T01,T01_bonafide_0053,112,-0.1933732459
T01,T01_spoof_0059,113,1.9761774779
T01,T01_bonafide_0054,114,-1.4278559203
T01,T01_bonafide_0055,115,0.3142471516
T01,T01_spoof_0060,116,1.9802795910
T01,T01_bonafide_0056,117,0.3495630215
T01,T01_spoof_0061,118,1.7695824155
T01,T01_bonafide_0057,119,1.1584837810
T01,T01_spoof_0062,120,1.8539593839
T01,T01_spoof_0063,121,1.9889748456
T01,T01_bonafide_0058,122,0.9541652531
T01,T01_bonafide_0059,123,-0.9541652531
T01,T01_bonafide_0060,124,0.0417892978
T01,T01_bonafide_0061,125,1.1263911290
T01,T01_bonafide_0062,126,0.8064212470
T01,T01_spoof_0064,127,1.9782102786
T01,T01_spoof_0065,128,1.8139053775
T01,T01_spoof_0066,129,1.9142707294
T01,T01_spoof_0067,130,1.8627095950
T01,T01_bonafide_0063,131,-1.6448536270
T01,T01_bonafide_0064,132,-0.8297738353
T01,T01_spoof_0068,133,1.9845378348
T01,T01_spoof_0069,134,2.0559738563
T01,T01_bonafide_0065,135,-0.2967378383
T01,T01_spoof_0070,136,1.8853810529
