set,track_id,trial_index,score
T01,T01_bonafide_0000,0,-1.3407550337
T01,T01_spoof_0000,1,1.7589045478
T01,T01_bonafide_0001,2,-0.3495630215
T01,T01_spoof_0001,3,1.8645311648
T01,T01_spoof_0002,4,1.8554395834
T01,T01_bonafide_0002,5,0.1088350370
T01,T01_bonafide_0003,6,0.8535879575
T01,T01_spoof_0003,7,2.0241793180
T01,T01_bonafide_0004,8,-0.6536561916
T01,T01_bonafide_0005,9,0.9281431228
T01,T01_spoof_0004,10,1.9082573790
T01,T01_spoof_0005,11,2.0506239804
T01,T01_spoof_0006,12,2.1324573881
T01,T01_spoof_0007,13,1.8213675065
T01,T01_bonafide_0006,14,1.4757910282
T01,T01_bonafide_0007,15,0.1933732459
T01,T01_bonafide_0008,16,0.5340118532
T01,T01_spoof_0008,17,1.9039276722
T01,T01_spoof_0009,18,1.8778551759
T01,T01_spoof_0010,19,1.8133847695
T01,T01_spoof_0011,20,2.0424615288
T01,T01_spoof_0012,21,1.9345913371
T01,T01_bonafide_0009,22,0.4215776353
T01,T01_bonafide_0010,23,0.2447284903
T01,T01_bonafide_0011,24,-1.8807936082
T01,T01_spoof_0013,25,1.9963109569
T01,T01_spoof_0014,26,2.0143079330
T01,T01_spoof_0015,27,1.7992756761
T01,T01_bonafide_0012,28,-0.5340118532
T01,T01_spoof_0016,29,1.5495365114
T01,T01_bonafide_0013,30,-0.1256613469
T01,T01_spoof_0017,31,1.8887704957
T01,T01_bonafide_0014,32,0.3495630215
T01,T01_spoof_0018,33,1.7464279313
T01,T01_spoof_0019,34,1.6689086886
T01,T01_spoof_0020,35,1.8600104672
T01,T01_bonafide_0015,36,0.2275449766
T01,T01_bonafide_0016,37,1.1584837810
T01,T01_bonafide_0017,38,-0.9027347916
T01,T01_spoof_0021,39,1.7737329758
T01,T01_spoof_0022,40,1.8800487659
T01,T01_bonafide_0018,41,-1.7907505532
T01,T01_bonafide_0019,42,-1.0654625443
T01,T01_bonafide_0020,43,0.2967378383
T01,T01_spoof_0023,44,1.9436343547
T01,T01_spoof_0024,45,1.9673177225
T01,T01_bonafide_0021,46,1.3829941271
T01,T01_bonafide_0022,47,0.8064212470
T01,T01_bonafide_0023,48,-1.4757910282
T01,T01_spoof_0025,49,2.0690413468
T01,T01_spoof_0026,50,1.8389403601
T01,T01_bonafide_0024,51,1.5833867842
T01,T01_bonafide_0025,52,-0.6331025661
T01,T01_spoof_0027,53,1.6572545414
T01,T01_spoof_0028,54,1.8078741763
T01,T01_bonafide_0026,55,1.1918161717
T01,T01_bonafide_0027,56,-0.2275449766
T01,T01_spoof_0029,57,1.7158776354
T01,T01_bonafide_0028,58,-0.5927726207
T01,T01_spoof_0030,59,2.2518295652
T01,T01_spoof_0031,60,1.8974384044
T01,T01_spoof_0032,61,1.8909409649
T01,T01_spoof_0033,62,1.8106498753
T01,T01_bonafide_0029,63,0.4958503473
T01,T01_bonafide_0030,64,-1.2265281200
T01,T01_bonafide_0031,65,1.9893129909
T01,T01_spoof_0034,66,1.9390894034
T01,T01_bonafide_0032,67,-0.2793190344
T01,T01_spoof_0035,68,2.0080795100
T01,T01_spoof_0036,69,1.7838433317
T01,T01_bonafide_0033,70,-1.0364333895
T01,T01_bonafide_0034,71,-0.4770404285
T01,T01_spoof_0037,72,1.7771867587
T01,T01_bonafide_0035,73,-0.2104283942
T01,T01_spoof_0038,74,1.9147694056
T01,T01_bonafide_0036,75,0.0417892978
T01,T01_bonafide_0037,76,-0.7835003754
T01,T01_spoof_0039,77,1.9505545296
T01,T01_bonafide_0038,78,-0.0083555248
T01,T01_bonafide_0039,79,0.6128129910
T01,T01_spoof_0040,80,1.9017644823
T01,T01_bonafide_0040,81,-0.8064212470
T01,T01_spoof_0041,82,1.9368349119
T01,T01_spoof_0042,83,2.0311797352
T01,T01_spoof_0043,84,1.6877919245
T01,T01_spoof_0044,85,1.9323579059
T01,T01_spoof_0045,86,1.6789395547
T01,T01_bonafide_0041,87,0.3673830229
T01,T01_spoof_0046,88,1.7029964349
T01,T01_bonafide_0042,89,0.7170660652
T01,T01_bonafide_0043,90,-1.5273795175
T01,T01_spoof_0047,91,1.7870581437
T01,T01_spoof_0048,92,1.7419352122
T01,T01_spoof_0049,93,1.9060917689
T01,T01_bonafide_0044,94,0.5148373735
T01,T01_bonafide_0045,95,0.4033827610
T01,T01_bonafide_0046,96,1.0954184989
T01,T01_spoof_0050,97,1.9600128280
T01,T01_bonafide_0047,98,2.1280452342
T01,T01_spoof_0051,99,1.7701863414
T01,T01_spoof_0052,100,1.9413556094
T01,T01_bonafide_0048,101,-1.3829941271
T01,T01_spoof_0053,102,1.8160812279
T01,T01_spoof_0054,103,1.8756550085
T01,T01_bonafide_0049,104,-0.1933732459
T01,T01_bonafide_0050,105,0.4770404285
T01,T01_spoof_0055,106,1.8690081707
T01,T01_spoof_0056,107,1.7323247298
T01,T01_spoof_0057,108,2.0348271683
T01,T01_spoof_0058,109,1.9213173107
T01,T01_bonafide_0051,110,-0.6128129910
T01,T01_bonafide_0052,111,-0.1088350370
T01,T01_bonafide_0053,112,1.0082523472
T01,T01_bonafide_0054,113,-0.4215776353
T01,T01_spoof_0059,114,1.8484737694
T01,T01_spoof_0060,115,1.8531331654
T01,T01_spoof_0061,116,1.7096734612
T01,T01_bonafide_0055,117,0.5533847196
T01,T01_bonafide_0056,118,0.1763741648
T01,T01_bonafide_0057,119,0.2104283942
T01,T01_spoof_0062,120,1.9235109008
T01,T01_spoof_0063,121,1.7271509819
T01,T01_bonafide_0058,122,-0.5148373735
T01,T01_spoof_0064,123,1.8021899484
T01,T01_bonafide_0059,124,1.2627844163
T01,T01_bonafide_0060,125,-0.8535879575
T01,T01_spoof_0065,126,1.8931086977
T01,T01_spoof_0066,127,2.0464702732
T01,T01_spoof_0067,128,1.8340483542
T01,T01_spoof_0068,129,1.9852848487
T01,T01_spoof_0069,130,2.0796820418
T01,T01_spoof_0070,131,1.8461188322
T01,T01_bonafide_0061,132,1.3007812744
T01,T01_bonafide_0062,133,-0.8778962951
T01,T01_spoof_0071,134,1.9697994487
T01,T01_spoof_0072,135,2.2017790033
T01,T01_spoof_0073,136,1.7963090596
T01,T01_bonafide_0063,137,0.6536561916
T01,T01_spoof_0074,138,2.1441115353
T01,T01_bonafide_0064,139,-2.7130518885
T01,T01_spoof_0075,140,1.8622766732
T01,T01_spoof_0076,141,2.0549381453
T01,T01_bonafide_0065,142,0.8297738353
T01,T01_bonafide_0066,143,0.9541652531
T01,T01_bonafide_0067,144,-0.7170660652
T01,T01_bonafide_0068,145,0.1425233124
T01,T01_spoof_0077,146,1.9528923072
T01,T01_spoof_0078,147,1.7932865666
T01,T01_bonafide_0069,148,0.5729675485
T01,T01_bonafide_0070,149,0.7388468492
T01,T01_spoof_0079,150,1.9991761282
T01,T01_spoof_0080,151,2.0020904006
T01,T01_spoof_0081,152,1.8865966711
T01,T01_bonafide_0071,153,0.2793190344
T01,T01_spoof_0082,154,1.7805547668
T01,T01_bonafide_0072,155,0.6744897502
T01,T01_bonafide_0073,156,0.0250689083
T01,T01_spoof_0083,157,1.9879813072
T01,T01_spoof_0084,158,1.7627817053
T01,T01_spoof_0085,159,1.7216840348
T01,T01_bonafide_0074,160,1.8807936082
T01,T01_spoof_0086,161,1.9576203866
T01,T01_spoof_0087,162,1.9125955809
T01,T01_bonafide_0075,163,1.3407550337
T01,T01_spoof_0088,164,1.8187414550
T01,T01_spoof_0089,165,2.1581570478
T01,T01_bonafide_0076,166,2.7130518885
T01,T01_bonafide_0077,167,-0.0920394870
T01,T01_bonafide_0078,168,1.1263911290
T01,T01_spoof_0090,169,1.9624257165
T01,T01_spoof_0091,170,2.0641234664
T01,T01_bonafide_0079,171,-0.1425233124
T01,T01_bonafide_0080,172,0.0083555248
T01,T01_bonafide_0081,173,-0.5729675485
T01,T01_bonafide_0082,174,-0.4399131657
T01,T01_spoof_0092,175,1.8952743077
T01,T01_bonafide_0083,176,0.6956202730
T01,T01_bonafide_0084,177,0.2619845763
T01,T01_spoof_0093,178,1.9104251117
T01,T01_spoof_0094,179,1.8315666280
T01,T01_spoof_0095,180,1.9552472444
T01,T01_spoof_0096,181,1.9648602581
T01,T01_spoof_0097,182,1.9723068518
T01,T01_spoof_0098,183,1.8667747395
T01,T01_bonafide_0085,184,-0.4583978074
T01,T01_bonafide_0086,185,0.3142471516
T01,T01_bonafide_0087,186,-0.3673830229
T01,T01_spoof_0099,187,1.6252531078
T01,T01_bonafide_0088,188,-1.1263911290
T01,T01_bonafide_0089,189,-1.7132494016
T01,T01_bonafide_0090,190,-1.0082523472
T01,T01_spoof_0100,191,1.9774047729
T01,T01_spoof_0101,192,2.0175227450
T01,T01_spoof_0102,193,1.7372426103
T01,T01_spoof_0103,194,1.8413532486
