Set,Bonafide Or Spoof,Language,Singer,Title,Model,Url
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_001,N/A,https://example.invalid/mock/training/bonafide/001
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_002,N/A,https://example.invalid/mock/training/bonafide/002
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_003,N/A,https://example.invalid/mock/training/bonafide/003
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_004,N/A,https://example.invalid/mock/training/bonafide/004
Training,bonafide,Mandarin,GEM,GEM_mock_track_005,N/A,https://example.invalid/mock/training/bonafide/005
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_006,N/A,https://example.invalid/mock/training/bonafide/006
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_007,N/A,https://example.invalid/mock/training/bonafide/007
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_008,N/A,https://example.invalid/mock/training/bonafide/008
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_009,N/A,https://example.invalid/mock/training/bonafide/009
Training,bonafide,Mandarin,GEM,GEM_mock_track_010,N/A,https://example.invalid/mock/training/bonafide/010
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_011,N/A,https://example.invalid/mock/training/bonafide/011
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_012,N/A,https://example.invalid/mock/training/bonafide/012
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_013,N/A,https://example.invalid/mock/training/bonafide/013
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_014,N/A,https://example.invalid/mock/training/bonafide/014
Training,bonafide,Mandarin,GEM,GEM_mock_track_015,N/A,https://example.invalid/mock/training/bonafide/015
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_016,N/A,https://example.invalid/mock/training/bonafide/016
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_017,N/A,https://example.invalid/mock/training/bonafide/017
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_018,N/A,https://example.invalid/mock/training/bonafide/018
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_019,N/A,https://example.invalid/mock/training/bonafide/019
Training,bonafide,Mandarin,GEM,GEM_mock_track_020,N/A,https://example.invalid/mock/training/bonafide/020
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_021,N/A,https://example.invalid/mock/training/bonafide/021
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_022,N/A,https://example.invalid/mock/training/bonafide/022
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_023,N/A,https://example.invalid/mock/training/bonafide/023
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_024,N/A,https://example.invalid/mock/training/bonafide/024
Training,bonafide,Mandarin,GEM,GEM_mock_track_025,N/A,https://example.invalid/mock/training/bonafide/025
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_026,N/A,https://example.invalid/mock/training/bonafide/026
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_027,N/A,https://example.invalid/mock/training/bonafide/027
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_028,N/A,https://example.invalid/mock/training/bonafide/028
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_029,N/A,https://example.invalid/mock/training/bonafide/029
Training,bonafide,Mandarin,GEM,GEM_mock_track_030,N/A,https://example.invalid/mock/training/bonafide/030
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_031,N/A,https://example.invalid/mock/training/bonafide/031
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_032,N/A,https://example.invalid/mock/training/bonafide/032
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_033,N/A,https://example.invalid/mock/training/bonafide/033
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_034,N/A,https://example.invalid/mock/training/bonafide/034
Training,bonafide,Mandarin,GEM,GEM_mock_track_035,N/A,https://example.invalid/mock/training/bonafide/035
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_036,N/A,https://example.invalid/mock/training/bonafide/036
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_037,N/A,https://example.invalid/mock/training/bonafide/037
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_038,N/A,https://example.invalid/mock/training/bonafide/038
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_039,N/A,https://example.invalid/mock/training/bonafide/039
Training,bonafide,Mandarin,GEM,GEM_mock_track_040,N/A,https://example.invalid/mock/training/bonafide/040
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_041,N/A,https://example.invalid/mock/training/bonafide/041
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_042,N/A,https://example.invalid/mock/training/bonafide/042
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_043,N/A,https://example.invalid/mock/training/bonafide/043
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_044,N/A,https://example.invalid/mock/training/bonafide/044
Training,bonafide,Mandarin,GEM,GEM_mock_track_045,N/A,https://example.invalid/mock/training/bonafide/045
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_046,N/A,https://example.invalid/mock/training/bonafide/046
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_047,N/A,https://example.invalid/mock/training/bonafide/047
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_048,N/A,https://example.invalid/mock/training/bonafide/048
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_049,N/A,https://example.invalid/mock/training/bonafide/049
Training,bonafide,Mandarin,GEM,GEM_mock_track_050,N/A,https://example.invalid/mock/training/bonafide/050
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_051,N/A,https://example.invalid/mock/training/bonafide/051
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_052,N/A,https://example.invalid/mock/training/bonafide/052
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_053,N/A,https://example.invalid/mock/training/bonafide/053
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_054,N/A,https://example.invalid/mock/training/bonafide/054
Training,bonafide,Mandarin,GEM,GEM_mock_track_055,N/A,https://example.invalid/mock/training/bonafide/055
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_056,N/A,https://example.invalid/mock/training/bonafide/056
Training,bonafide,Mandarin,Zhou_Shen,Zhou_Shen_mock_track_057,N/A,https://example.invalid/mock/training/bonafide/057
Training,bonafide,Mandarin,Li_Jian,Li_Jian_mock_track_058,N/A,https://example.invalid/mock/training/bonafide/058
Training,bonafide,Mandarin,Na_Ying,Na_Ying_mock_track_059,N/A,https://example.invalid/mock/training/bonafide/059
Training,bonafide,Mandarin,GEM,GEM_mock_track_060,N/A,https://example.invalid/mock/training/bonafide/060
Training,bonafide,Mandarin,Bella_Yao,Bella_Yao_mock_track_061,N/A,https://example.invalid/mock/training/bonafide/061
